source_file,block_index,header_offset_hex,section_type,section_group,non_empty_rows,slot_values,row_group_values,option_id_count,value_low16_min,value_low16_max,after_list_count,after_list_values,evidence_level
item_option_open.dat,10,0x7868,11,3,105,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30","2,3,4,5",29,5,1200,23,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",confirmed_binary_structure_unresolved_axis
item_option_open.dat,11,0x8470,7,0,64,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","1,2,3",27,2,144,1,29,confirmed_binary_structure_unresolved_axis
item_option_open.dat,12,0x9020,8,0,84,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24","1,2,3",31,2,360,1,29,confirmed_binary_structure_unresolved_axis
item_option_open.dat,13,0x9bd0,9,0,105,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29","1,2,3",39,0,504,1,29,confirmed_binary_structure_unresolved_axis
item_option_open.dat,14,0xa780,11,0,105,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30","1,2,3,4",30,4,880,1,29,confirmed_binary_structure_unresolved_axis
item_option_open.dat,15,0xb330,7,1,44,"1,2,3,4,5,6,7,8,9,10,11,12,13","1,2",24,2,150,1,29,confirmed_binary_structure_unresolved_axis
item_option_open.dat,16,0xbee0,8,1,56,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","1,2",24,1,300,1,29,confirmed_binary_structure_unresolved_axis
item_option_open.dat,17,0xca90,9,1,68,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21","1,2",32,0,360,1,29,confirmed_binary_structure_unresolved_axis
item_option_open.dat,18,0xd640,11,1,77,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22","1,2,3",29,3,446,1,29,confirmed_binary_structure_unresolved_axis
item_option_open.dat,19,0xe1f0,8,2,82,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24","1,2,3",23,1,155,1,29,confirmed_binary_structure_unresolved_axis
item_option_open.dat,20,0xeda0,9,3,102,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30","1,2,3",43,0,655,1,29,confirmed_binary_structure_unresolved_axis
item_option_open.dat,21,0xf950,11,3,105,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30","2,3,4,5",30,5,1200,1,29,confirmed_binary_structure_unresolved_axis
item_option_open.dat,22,0x10500,7,0,68,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21","1,2,3",28,0,864,1,16,confirmed_binary_structure_unresolved_axis
item_option_open.dat,23,0x110b0,8,0,79,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23","1,2,3",37,0,1036,1,16,confirmed_binary_structure_unresolved_axis
item_option_open.dat,24,0x11c60,9,0,81,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25","1,2,3",38,0,1243,1,16,confirmed_binary_structure_unresolved_axis
item_option_open.dat,25,0x12810,11,0,90,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30","1,2,3,4",21,7,1920,1,16,confirmed_binary_structure_unresolved_axis
item_option_open.dat,26,0x133c0,7,1,42,"1,2,3,4,5,6,7,8,9,10,11,12,13","1,2",24,0,720,1,16,confirmed_binary_structure_unresolved_axis
item_option_open.dat,27,0x13f70,8,1,51,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","1,2",30,0,864,1,16,confirmed_binary_structure_unresolved_axis
item_option_open.dat,28,0x14b20,9,1,54,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","1,2",31,0,1036,1,16,confirmed_binary_structure_unresolved_axis
item_option_open.dat,29,0x156d0,11,1,62,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30","1,2,3",21,6,1510,1,16,confirmed_binary_structure_unresolved_axis
item_option_open.dat,30,0x16280,8,2,77,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23","1,2,3",29,0,472,1,16,confirmed_binary_structure_unresolved_axis
item_option_open.dat,31,0x16e30,9,3,74,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22","1,2,3",39,0,1243,1,16,confirmed_binary_structure_unresolved_axis
item_option_open.dat,32,0x179e0,11,3,90,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30","2,3,4,5",21,9,2330,1,16,confirmed_binary_structure_unresolved_axis
item_option_open.dat,33,0x18590,7,0,62,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","1,2,3",27,0,864,1,17,confirmed_binary_structure_unresolved_axis
item_option_open.dat,34,0x19140,8,0,65,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","1,2,3",28,0,1036,1,17,confirmed_binary_structure_unresolved_axis
item_option_open.dat,35,0x19cf0,9,0,98,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31","1,2,3",36,2,345,1,17,confirmed_binary_structure_unresolved_axis
item_option_open.dat,36,0x1a8a0,7,1,38,"1,2,3,4,5,6,7,8,9,10,11,12","1,2",21,0,720,1,17,confirmed_binary_structure_unresolved_axis
item_option_open.dat,37,0x1b450,8,1,40,"1,2,3,4,5,6,7,8,9,10,11,12","1,2",22,0,864,1,17,confirmed_binary_structure_unresolved_axis
item_option_open.dat,38,0x1c000,9,1,65,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24","1,2",31,0,1036,1,17,confirmed_binary_structure_unresolved_axis
item_option_open.dat,39,0x1cbb0,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,40,0x1d75c,9,3,89,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27","1,2,3",41,2,374,1,17,confirmed_binary_structure_unresolved_axis
item_option_open.dat,41,0x1e30c,7,0,77,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21","1,2,3",28,3,144,2,"10,11",confirmed_binary_structure_unresolved_axis
item_option_open.dat,42,0x1eec0,8,0,88,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27","1,2,3",31,3,259,2,"10,11",confirmed_binary_structure_unresolved_axis
item_option_open.dat,43,0x1fa74,9,0,90,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26","1,2,3",33,2,259,2,"10,11",confirmed_binary_structure_unresolved_axis
item_option_open.dat,44,0x20628,11,0,72,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22","1,2,3,4",20,4,1920,2,"10,11",confirmed_binary_structure_unresolved_axis
item_option_open.dat,45,0x211dc,7,1,43,"1,2,3,4,5,6,7,8,9,10,11,12","1,2",21,3,66,2,"10,11",confirmed_binary_structure_unresolved_axis
item_option_open.dat,46,0x21d90,8,1,52,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","1,2",24,2,180,2,"10,11",confirmed_binary_structure_unresolved_axis
item_option_open.dat,47,0x22944,9,1,59,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21","1,2",26,2,180,2,"10,11",confirmed_binary_structure_unresolved_axis
item_option_open.dat,48,0x234f8,11,1,51,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17","1,2,3",20,4,1510,2,"10,11",confirmed_binary_structure_unresolved_axis
item_option_open.dat,49,0x240ac,8,2,86,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27","1,2,3",23,1,150,2,"10,11",confirmed_binary_structure_unresolved_axis
item_option_open.dat,50,0x24c60,9,3,69,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","1,2,3",32,2,267,2,"10,11",confirmed_binary_structure_unresolved_axis
item_option_open.dat,51,0x25814,11,3,84,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27","1,2,3,4,5",20,5,2330,2,"10,11",confirmed_binary_structure_unresolved_axis
item_option_open.dat,52,0x263c8,7,0,54,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","1,2,3",24,3,86,1,0,confirmed_binary_structure_unresolved_axis
item_option_open.dat,53,0x26f78,8,0,74,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22","1,2,3",32,3,360,1,0,confirmed_binary_structure_unresolved_axis
item_option_open.dat,54,0x27b28,9,0,77,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25","1,2,3",33,2,432,1,0,confirmed_binary_structure_unresolved_axis
item_option_open.dat,55,0x286d8,11,0,71,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22","1,2,3",17,11,1510,1,0,confirmed_binary_structure_unresolved_axis
item_option_open.dat,56,0x29288,7,1,33,"1,2,3,4,5,6,7,8,9","1,2",19,3,60,1,0,confirmed_binary_structure_unresolved_axis
item_option_open.dat,57,0x29e38,8,1,44,"1,2,3,4,5,6,7,8,9,10,11,12,13,14","1,2",25,3,240,1,0,confirmed_binary_structure_unresolved_axis
item_option_open.dat,58,0x2a9e8,9,1,45,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","1,2",26,3,288,1,0,confirmed_binary_structure_unresolved_axis
item_option_open.dat,59,0x2b598,11,1,48,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17","1,2,3",17,11,1510,1,0,confirmed_binary_structure_unresolved_axis
item_option_open.dat,60,0x2c148,8,2,72,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22","1,2,3",24,1,150,1,0,confirmed_binary_structure_unresolved_axis
item_option_open.dat,61,0x2ccf8,9,3,66,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","1,2,3",40,2,561,1,0,confirmed_binary_structure_unresolved_axis
item_option_open.dat,62,0x2d8a8,11,3,84,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27","1,2,3,4",17,11,1920,1,0,confirmed_binary_structure_unresolved_axis
item_option_open.dat,63,0x2e458,7,0,56,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","1,2,3",22,1,144,1,1,confirmed_binary_structure_unresolved_axis
item_option_open.dat,64,0x2f008,8,0,60,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","1,2,3",23,3,230,1,1,confirmed_binary_structure_unresolved_axis
item_option_open.dat,65,0x2fbb8,9,0,68,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","1,2,3",28,2,432,1,1,confirmed_binary_structure_unresolved_axis
item_option_open.dat,66,0x30768,11,0,72,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22","1,2,3",18,0,1510,1,1,confirmed_binary_structure_unresolved_axis
item_option_open.dat,67,0x31318,7,1,33,"1,2,3,4,5,6,7,8,9","1,2",17,1,200,1,1,confirmed_binary_structure_unresolved_axis
item_option_open.dat,68,0x31ec8,8,1,33,"1,2,3,4,5,6,7,8,9","1,2",17,3,240,1,1,confirmed_binary_structure_unresolved_axis
item_option_open.dat,69,0x32a78,9,1,40,"1,2,3,4,5,6,7,8,9,10,11,12,13","1,2",21,4,288,1,1,confirmed_binary_structure_unresolved_axis
item_option_open.dat,70,0x33628,11,1,49,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17","1,2,3",18,0,1510,1,1,confirmed_binary_structure_unresolved_axis
item_option_open.dat,71,0x341d8,8,2,60,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","1,2,3",16,1,150,1,1,confirmed_binary_structure_unresolved_axis
item_option_open.dat,72,0x34d88,9,3,66,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19","1,2,3",37,2,561,1,1,confirmed_binary_structure_unresolved_axis
item_option_open.dat,73,0x35938,11,3,82,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24","1,2,3,4",18,0,1920,1,1,confirmed_binary_structure_unresolved_axis
item_option_open.dat,74,0x364e8,7,0,56,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","1,2,3",23,4,691,1,6,confirmed_binary_structure_unresolved_axis
item_option_open.dat,75,0x37098,8,0,64,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","1,2,3",25,3,829,1,6,confirmed_binary_structure_unresolved_axis
item_option_open.dat,76,0x37c48,9,0,84,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25","1,2,3",31,2,994,1,6,confirmed_binary_structure_unresolved_axis
item_option_open.dat,77,0x387f8,11,0,61,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17","1,2,3,4",15,6,1920,1,6,confirmed_binary_structure_unresolved_axis
item_option_open.dat,78,0x393a8,7,1,33,"1,2,3,4,5,6,7,8,9","1,2",16,5,576,1,6,confirmed_binary_structure_unresolved_axis
item_option_open.dat,79,0x39f58,8,1,37,"1,2,3,4,5,6,7,8,9,10","1,2",17,5,691,1,6,confirmed_binary_structure_unresolved_axis
item_option_open.dat,80,0x3ab08,9,1,48,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","1,2",22,10,829,1,6,confirmed_binary_structure_unresolved_axis
item_option_open.dat,81,0x3b6b8,11,1,43,"1,2,3,4,5,6,7,8,9,10,11,12,13","1,2,3",15,6,1510,1,6,confirmed_binary_structure_unresolved_axis
item_option_open.dat,82,0x3c268,8,2,64,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","1,2,3",17,2,378,1,6,confirmed_binary_structure_unresolved_axis
item_option_open.dat,83,0x3ce18,9,3,63,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","1,2,3",29,2,994,1,6,confirmed_binary_structure_unresolved_axis
item_option_open.dat,84,0x3d9c8,11,3,63,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17","1,2,3,4,5",15,7,2330,1,6,confirmed_binary_structure_unresolved_axis
item_option_open.dat,85,0x3e578,7,0,65,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","1,2,3",26,4,86,2,"2,5",confirmed_binary_structure_unresolved_axis
item_option_open.dat,86,0x3f12c,8,0,90,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28","1,2,3",31,3,259,2,"2,5",confirmed_binary_structure_unresolved_axis
item_option_open.dat,87,0x3fce0,9,0,90,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28","1,2,3",31,2,316,2,"2,5",confirmed_binary_structure_unresolved_axis
item_option_open.dat,88,0x40894,11,0,77,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24","1,2,3,4",20,4,1510,2,"2,5",confirmed_binary_structure_unresolved_axis
item_option_open.dat,89,0x41448,7,1,41,"1,2,3,4,5,6,7,8,9,10,11","1,2",19,4,60,2,"2,5",confirmed_binary_structure_unresolved_axis
item_option_open.dat,90,0x41ffc,8,1,53,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17","1,2",24,2,180,2,"2,5",confirmed_binary_structure_unresolved_axis
item_option_open.dat,91,0x42bb0,9,1,53,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17","1,2",24,4,259,2,"2,5",confirmed_binary_structure_unresolved_axis
item_option_open.dat,92,0x43764,11,1,50,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","1,2,3",20,4,1510,2,"2,5",confirmed_binary_structure_unresolved_axis
item_option_open.dat,93,0x44318,8,2,88,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28","1,2,3",23,1,150,2,"2,5",confirmed_binary_structure_unresolved_axis
item_option_open.dat,94,0x44ecc,9,3,67,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","1,2,3",30,2,410,2,"2,5",confirmed_binary_structure_unresolved_axis
item_option_open.dat,95,0x45a80,11,3,86,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27","1,2,3,4,5",20,5,1920,2,"2,5",confirmed_binary_structure_unresolved_axis
item_option_open.dat,96,0x46634,7,0,61,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","1,2,3",26,0,86,1,7,confirmed_binary_structure_unresolved_axis
item_option_open.dat,97,0x471e4,8,0,65,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","1,2,3",26,0,237,1,7,confirmed_binary_structure_unresolved_axis
item_option_open.dat,98,0x47d94,9,0,86,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23","1,2,3",27,0,360,1,7,confirmed_binary_structure_unresolved_axis
item_option_open.dat,99,0x48944,11,0,78,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23","1,2,3,4",19,4,1100,1,7,confirmed_binary_structure_unresolved_axis
item_option_open.dat,100,0x494f4,7,1,38,"1,2,3,4,5,6,7,8,9,10,11","1,2",19,0,72,1,7,confirmed_binary_structure_unresolved_axis
item_option_open.dat,101,0x4a0a4,8,1,38,"1,2,3,4,5,6,7,8,9,10,11","1,2",19,0,180,1,7,confirmed_binary_structure_unresolved_axis
item_option_open.dat,102,0x4ac54,9,1,58,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","1,2",20,0,180,1,7,confirmed_binary_structure_unresolved_axis
item_option_open.dat,103,0x4b804,11,1,42,"1,2,3,4,5,6,7,8,9,10,11,12","1,2",19,4,690,1,7,confirmed_binary_structure_unresolved_axis
item_option_open.dat,104,0x4c3b4,8,2,63,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","1,2,3",18,0,150,1,7,confirmed_binary_structure_unresolved_axis
item_option_open.dat,105,0x4cf64,9,3,67,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","1,2,3",26,0,468,1,7,confirmed_binary_structure_unresolved_axis
item_option_open.dat,106,0x4db14,11,3,82,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26","1,2,3,4,5",19,4,1100,1,7,confirmed_binary_structure_unresolved_axis
item_option_open.dat,107,0x4e6c4,7,0,64,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","1,2,3",25,1,216,1,8,confirmed_binary_structure_unresolved_axis
item_option_open.dat,108,0x4f274,8,0,67,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","1,2,3",26,3,518,1,8,confirmed_binary_structure_unresolved_axis
item_option_open.dat,109,0x4fe24,9,0,78,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22","1,2,3",28,2,621,1,8,confirmed_binary_structure_unresolved_axis
item_option_open.dat,110,0x509d4,11,0,70,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21","1,2,3,4",20,3,1510,1,8,confirmed_binary_structure_unresolved_axis
item_option_open.dat,111,0x51584,7,1,37,"1,2,3,4,5,6,7,8,9,10,11","1,2",18,1,180,1,8,confirmed_binary_structure_unresolved_axis
item_option_open.dat,112,0x52134,8,1,38,"1,2,3,4,5,6,7,8,9,10,11","1,2",19,3,432,1,8,confirmed_binary_structure_unresolved_axis
item_option_open.dat,113,0x52ce4,9,1,46,"1,2,3,4,5,6,7,8,9,10,11,12,13,14","1,2",23,5,432,1,8,confirmed_binary_structure_unresolved_axis
item_option_open.dat,114,0x53894,11,1,47,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","1,2,3",20,3,1510,1,8,confirmed_binary_structure_unresolved_axis
item_option_open.dat,115,0x54444,8,2,65,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","1,2,3",18,1,223,1,8,confirmed_binary_structure_unresolved_axis
item_option_open.dat,116,0x54ff4,9,3,62,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","1,2,3",28,1,621,1,8,confirmed_binary_structure_unresolved_axis
item_option_open.dat,117,0x55ba4,11,3,77,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21","1,2,3,4,5",20,4,1920,1,8,confirmed_binary_structure_unresolved_axis
item_option_open.dat,118,0x56754,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,119,0x57300,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,120,0x57eac,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,121,0x58a58,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,122,0x59604,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,123,0x5a1b0,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,124,0x5ad5c,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,125,0x5b908,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,126,0x5c4b4,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,127,0x5d060,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,128,0x5dc0c,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,129,0x5e7b8,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,130,0x5f364,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,131,0x5ff10,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,132,0x60abc,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,133,0x61668,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,134,0x62214,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,135,0x62dc0,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,136,0x6396c,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,137,0x64518,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,138,0x650c4,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,139,0x65c70,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,140,0x6681c,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,141,0x673c8,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,142,0x67f74,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,143,0x68b20,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,144,0x696cc,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,145,0x6a278,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,146,0x6ae24,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,147,0x6b9d0,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,148,0x6c57c,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
